Designator,Mid X,Mid Y,Rotation,Layer
D1,114.95,-76.73,90.0,bottom
D2,134.0,-76.73,90.0,bottom
D3,153.05,-76.73,90.0,bottom
D4,114.95,-95.78,90.0,bottom
D5,134.0,-95.78,90.0,bottom
D6,153.05,-95.78,90.0,bottom
D7,114.95,-114.83,90.0,bottom
D8,134.0,-114.83,90.0,bottom
D9,153.05,-114.83,90.0,bottom
S1,105.34,-78.0,0.0,top
S2,124.39,-78.0,0.0,top
S3,143.44,-78.0,0.0,top
S4,105.34,-97.0,0.0,top
S5,124.39,-97.05,0.0,top
S6,143.44,-97.05,0.0,top
S7,105.34,-116.1,0.0,top
S8,124.39,-116.1,0.0,top
S9,143.44,-116.1,0.0,top
U1,176.38625,-94.98625,0.0,top
